Date,Stock Open (CAD),Stock Close (CAD),Mutual Fund Price
2011-01-03,9.833,9.951,4.81
2011-01-04,10.038,10.003,4.92
2011-01-05,9.951,10.085,4.98
2011-01-06,10.107,10.077,5.01
2011-01-07,10.085,10.149,5
2011-01-10,10.231,10.340,4.99
2011-01-11,10.414,10.316,5
2011-01-12,10.364,10.400,5.02
2011-01-13,10.422,10.438,5.05
2011-01-14,10.444,10.522,5.05
2011-01-18,9.950,10.286,5.05
2011-01-19,10.518,10.231,5.01
2011-01-20,10.158,10.045,5.03
2011-01-21,10.078,9.865,5.05
2011-01-24,9.870,10.189,5.06
2011-01-25,10.155,10.308,5.1
2011-01-26,10.356,10.382,5.1
2011-01-27,10.380,10.363,5.09
2011-01-28,10.392,10.148,5.09
2011-01-31,10.139,10.246,5.08
2011-02-01,10.305,10.418,5.1
2011-02-02,10.401,10.397,5.09
2011-02-03,10.381,10.370,5.09
2011-02-04,10.376,10.462,5.15
2011-02-07,10.504,10.625,5.13
2011-02-08,10.679,10.725,5.17
2011-02-09,10.725,10.815,5.17
2011-02-10,10.791,10.705,5.17
2011-02-11,10.712,10.775,5.17
2011-02-14,10.773,10.845,5.19
2011-02-15,10.846,10.867,5.24
2011-02-16,10.894,10.965,5.23
2011-02-17,10.787,10.819,5.28
2011-02-18,10.831,10.585,5.28
2011-02-22,10.331,10.224,5.21
2011-02-23,10.229,10.345,5.17
2011-02-24,10.388,10.353,5.16
2011-02-25,10.425,10.513,5.19
2011-02-28,10.606,10.665,5.2
2011-03-01,10.733,10.547,5.25
2011-03-02,10.567,10.632,5.26
2011-03-03,10.785,10.857,5.14
2011-03-04,10.872,10.870,5.14
2011-03-07,10.912,10.730,5.27
2011-03-08,10.716,10.742,5.25
2011-03-09,10.710,10.643,5.25
2011-03-10,10.542,10.468,5.27
2011-03-11,10.427,10.628,5.3
2011-03-14,10.664,10.676,5.33
2011-03-15,10.330,10.430,5.32
2011-03-16,10.327,9.965,5.33
2011-03-17,10.170,10.104,5.36
2011-03-18,10.180,9.984,5.38
2011-03-21,10.145,10.245,5.36
2011-03-22,10.344,10.302,5.4
2011-03-23,10.244,10.242,5.4
2011-03-24,10.322,10.416,5.39
2011-03-25,10.510,10.615,5.23
2011-03-28,10.663,10.581,5.19
2011-03-29,10.498,10.597,5.21
2011-03-30,10.587,10.527,5.29
2011-03-31,10.458,10.523,5.3
2011-04-01,10.602,10.404,5.2
2011-04-04,10.396,10.302,5.22
2011-04-05,10.175,10.233,5.32
2011-04-06,10.303,10.207,5.28
2011-04-07,10.209,10.208,5.2
2011-04-08,10.264,10.117,5.23
2011-04-11,10.087,9.988,5.21
2011-04-12,9.979,10.037,5.11
2011-04-13,10.116,10.149,5.15
2011-04-14,10.109,10.037,5.12
2011-04-15,10.064,9.888,5.08
2011-04-18,9.847,10.020,4.97
2011-04-19,10.058,10.202,5.04
2011-04-20,10.372,10.339,5.05
2011-04-21,10.719,10.589,5.13
2011-04-25,10.578,10.659,5.11
2011-04-26,10.677,10.581,5.13
2011-04-27,10.636,10.573,5.21
2011-04-28,10.453,10.470,5.22
2011-04-29,10.471,10.572,5.19
2011-05-02,10.560,10.456,5.25
2011-05-03,10.507,10.514,5.29
2011-05-04,10.516,10.555,5.29
2011-05-05,10.520,10.470,5.32
2011-05-06,10.559,10.467,5.31
2011-05-09,10.504,10.496,5.3
2011-05-10,10.535,10.552,5.3
2011-05-11,10.539,10.485,5.3
2011-05-12,10.451,10.465,5.28
2011-05-13,10.437,10.281,5.25
2011-05-16,10.242,10.064,5.21
2011-05-17,10.025,10.150,5.23
2011-05-18,10.160,10.262,5.22
2011-05-19,10.329,10.282,5.22
2011-05-20,10.253,10.122,5.17
2011-05-23,9.963,10.097,5.21
2011-05-24,10.130,10.030,5.32
2011-05-25,10.068,10.169,5.36
2011-05-26,10.145,10.115,5.35
2011-05-27,10.109,10.188,5.39
2011-05-31,10.299,10.503,5.41
2011-06-01,10.534,10.433,5.4
2011-06-02,10.462,10.450,5.43
2011-06-03,10.362,10.370,5.41
2011-06-06,10.438,10.207,5.36
2011-06-07,10.211,10.026,5.32
2011-06-08,10.018,10.032,5.29
2011-06-09,10.062,10.009,5.31
2011-06-10,9.981,9.840,5.35
2011-06-13,9.880,9.862,5.39
2011-06-14,9.964,10.038,5.31
2011-06-15,9.957,9.866,5.34
2011-06-16,9.871,9.818,5.29
2011-06-17,9.934,9.670,5.22
2011-06-20,9.583,9.521,5.21
2011-06-21,9.562,9.822,5.28
2011-06-22,9.818,9.741,5.3
2011-06-23,9.630,10.001,5.27
2011-06-24,10.006,9.854,5.2
2011-06-27,9.891,10.026,5.2
2011-06-28,10.074,10.123,5.23
2011-06-29,10.147,10.086,5.27
2011-06-30,10.106,10.135,5.3
2011-07-01,10.144,10.365,5.36
2011-07-05,10.357,10.551,5.22
2011-07-06,10.536,10.621,5.24
2011-07-07,10.709,10.786,5.18
2011-07-08,10.669,10.861,5.11
2011-07-11,10.760,10.689,5.11
2011-07-12,10.675,10.681,5.07
2011-07-13,10.820,10.810,5.11
2011-07-14,10.901,10.803,5.01
2011-07-15,10.905,11.019,4.99
2011-07-18,11.034,11.287,5.08
2011-07-19,11.414,11.379,4.98
2011-07-20,11.961,11.682,4.94
2011-07-21,11.684,11.694,4.94
2011-07-22,11.725,11.876,4.96
2011-07-25,11.787,12.033,5.08
2011-07-26,12.078,12.181,5.04
2011-07-27,12.096,11.854,5.06
2011-07-28,11.825,11.831,4.99
2011-07-29,11.705,11.790,5.05
2011-08-01,12.011,11.980,5.14
2011-08-02,12.007,11.743,5.17
2011-08-03,11.806,11.854,5.17
2011-08-04,11.758,11.395,5.32
